 n_tokens_title, num_hrefs, average_token_length, is_weekend, global_sentiment_polarity, title_sentiment_polarity, shares, popularity, workday, data_channel_Entertainment, data_channel_Lifestyle, data_channel_Other, data_channel_Social Media, data_channel_Tech, data_channel_World
12.0,4.0,4.6803652968,0.0,0.09256198347110002,-0.1875,593,Very Poor,1,1,0,0,0,0,0
13.0,19.0,4.682835820899999,0.0,0.281003475691,0.13636363636399998,505,Very Poor,1,0,0,0,0,1,0
8.0,21.0,4.65416666667,0.0,0.268302724212,0.0,556,Very Poor,1,0,1,0,0,0,0
9.0,9.0,5.2966751918199995,0.0,0.0333333333333,0.0,598,Very Poor,1,0,0,0,0,0,1
11.0,20.0,4.62998266898,0.0,0.268667864873,0.0,445,Very Poor,1,0,0,0,0,1,0
10.0,1.0,4.38271604938,0.0,0.155603354978,0.0,462,Very Poor,1,0,1,0,0,0,0
11.0,18.0,5.22821576763,0.0,0.182696038139,0.5,425,Very Poor,1,0,0,0,0,0,0
14.0,0.0,4.0689655172400006,0.0,0.31812180244000005,0.0,480,Very Poor,1,0,0,0,0,1,0
10.0,5.0,4.34338358459,0.0,0.242947781385,1.0,573,Very Poor,1,0,0,1,0,0,0
11.0,4.0,4.38095238095,0.0,0.17659406565699998,0.35,343,Very Poor,1,0,1,0,0,0,0
11.0,8.0,4.6958698373,0.0,0.12288961039000001,0.0,504,Very Poor,1,0,0,0,0,0,1
6.0,0.0,4.798850574709999,0.0,0.159090909091,0.0,401,Very Poor,1,0,0,0,0,1,0
10.0,2.0,4.27464788732,0.0,0.114285714286,0.0,575,Very Poor,1,0,0,0,0,0,0
10.0,25.0,4.620168067230001,0.0,0.243576169862,0.0,507,Very Poor,1,0,1,0,0,0,0
9.0,21.0,4.70656779661,0.0,0.279677056277,0.214285714286,382,Very Poor,1,0,0,0,0,1,0
9.0,21.0,4.70097087379,0.0,0.266416746833,0.0,400,Very Poor,1,0,0,0,0,1,0
9.0,5.0,4.4,0.0,0.143688767373,0.13636363636399998,585,Very Poor,1,0,0,0,0,1,0
13.0,19.0,4.7783203125,0.0,0.290063884336,0.0,536,Very Poor,1,0,0,0,0,1,0
9.0,22.0,4.65514018692,0.0,0.270670602125,0.25,645,Very Poor,1,0,0,0,0,1,0
12.0,1.0,4.3628509719199995,0.0,0.11316783910499999,0.0333333333333,598,Very Poor,1,0,0,0,0,1,0
11.0,21.0,4.65572139303,0.0,0.273728465412,0.0,217,Very Poor,1,0,0,0,0,1,0
7.0,1.0,4.80876494024,0.0,-0.0346482061999,-0.0625,545,Very Poor,1,0,0,0,0,1,0
9.0,3.0,5.01354401806,0.0,0.06666666666669999,0.0,495,Very Poor,1,0,0,0,0,0,1
6.0,7.0,4.909090909090001,0.0,0.121796218487,0.0,552,Very Poor,1,0,1,0,0,0,0
5.0,3.0,4.47191011236,0.0,0.176737967914,0.13636363636399998,631,Very Poor,1,1,0,0,0,0,0
10.0,8.0,4.9806763285,0.0,0.0101736001126,0.2,468,Very Poor,1,0,0,0,0,0,1
12.0,20.0,4.58259149357,0.0,0.293015129201,0.1,500,Very Poor,1,0,0,0,0,1,0
10.0,6.0,4.70217917676,0.0,0.15642586580099999,0.0333333333333,455,Very Poor,1,1,0,0,0,0,0
9.0,17.0,4.6574440052699995,0.0,0.107640080046,0.0,459,Very Poor,1,0,0,0,0,0,0
7.0,32.0,4.637989778530001,0.0,0.047830195966,0.0,341,Very Poor,1,0,0,1,0,0,0
9.0,23.0,4.736969696969999,0.0,0.30271596921599997,0.25,450,Very Poor,1,0,0,1,0,0,0
6.0,36.0,4.71022222222,0.0,0.275997249278,0.0,302,Very Poor,1,0,0,0,0,1,0
9.0,2.0,4.51851851852,0.0,0.0166666666667,0.0,575,Very Poor,1,1,0,0,0,0,0
9.0,1.0,4.168831168830001,0.0,0.00969387755102,0.0,454,Very Poor,1,1,0,0,0,0,0
12.0,2.0,4.983240223459999,0.0,0.0398303689065,-0.4,412,Very Poor,1,0,0,0,0,0,1
12.0,31.0,4.710652920959999,0.0,0.012645687645700001,0.0,417,Very Poor,1,0,0,1,0,0,0
10.0,8.0,4.98113207547,0.0,0.22265436318100001,0.13636363636399998,474,Very Poor,1,0,0,0,0,0,0
10.0,1.0,4.65942028986,0.0,0.0738095238095,0.0,513,Very Poor,1,0,0,1,0,0,0
10.0,11.0,4.75732899023,0.0,0.15447945845,0.0,373,Very Poor,1,0,0,0,0,0,1
11.0,3.0,4.74740484429,0.0,0.08287220026349999,0.0,350,Very Poor,1,1,0,0,0,0,0
8.0,10.0,4.3125,0.0,0.10618053715,0.0,341,Very Poor,1,0,0,1,0,0,0
9.0,7.0,4.79565217391,0.0,0.113839285714,0.0,450,Very Poor,1,0,0,0,0,0,1
12.0,3.0,4.727777777780001,0.0,0.0678571428571,0.5,606,Very Poor,1,0,0,0,0,0,0
11.0,9.0,4.69589041096,0.0,0.09307359307360001,0.0,529,Very Poor,1,0,0,0,0,0,1
12.0,8.0,4.43902439024,0.0,0.0816017316017,0.0,427,Very Poor,1,1,0,0,0,0,0
7.0,4.0,5.49714285714,0.0,0.177136363636,0.0,377,Very Poor,1,0,1,0,0,0,0
6.0,45.0,4.74051724138,0.0,0.244290455576,0.0,396,Very Poor,1,0,0,0,0,1,0
13.0,16.0,4.4471403812800006,0.0,0.16250990295099998,0.5,484,Very Poor,1,1,0,0,0,0,0
8.0,6.0,4.41568627451,0.0,0.0101217532468,0.13636363636399998,441,Very Poor,1,0,0,0,0,0,0
9.0,11.0,4.5548216644599995,0.0,0.19277936752500002,0.0,473,Very Poor,1,0,0,0,0,0,1
11.0,9.0,4.89308176101,0.0,0.240625,0.0,308,Very Poor,1,0,0,1,0,0,0
16.0,6.0,4.48049281314,0.0,0.143272005772,0.0,569,Very Poor,1,0,0,0,0,0,0
11.0,2.0,4.272222222219999,0.0,0.157644628099,0.13636363636399998,423,Very Poor,1,0,0,0,0,1,0
12.0,2.0,4.755813953490001,0.0,0.110110780423,0.0,400,Very Poor,1,0,0,0,0,0,0
10.0,8.0,5.11782477341,0.0,0.138340299547,0.0,614,Very Poor,1,0,0,0,0,0,1
8.0,3.0,4.66666666667,0.0,0.22692307692299998,0.0,582,Very Poor,1,1,0,0,0,0,0
12.0,4.0,4.60830860534,0.0,0.364015151515,0.5,622,Very Poor,1,0,0,1,0,0,0
9.0,7.0,4.45,1.0,0.0929398148148,0.0,618,Very Poor,0,0,0,1,0,0,0
11.0,6.0,4.75848303393,0.0,0.0149224806202,0.0,630,Very Poor,1,0,0,0,0,0,1
8.0,1.0,4.8290909090900005,0.0,0.0777997364954,0.0166666666667,636,Very Poor,1,0,0,0,0,0,0
13.0,4.0,4.54314720812,0.0,0.199350649351,1.0,432,Very Poor,1,1,0,0,0,0,0
11.0,9.0,4.6393442623,0.0,0.07927789802789999,0.0,621,Very Poor,1,0,0,0,0,0,0
9.0,3.0,4.406593406590001,0.0,-0.042857142857099996,0.0,476,Very Poor,1,0,0,0,0,0,0
10.0,19.0,4.71214642263,0.0,-0.010241596638700001,0.0,586,Very Poor,1,0,0,0,0,0,1
12.0,8.0,5.45987654321,0.0,0.16188172043,0.25,498,Very Poor,1,0,1,0,0,0,0
11.0,30.0,4.65148228489,0.0,0.0154776936027,0.13636363636399998,645,Very Poor,1,0,0,0,0,0,1
10.0,2.0,4.4384615384599995,0.0,-0.006586199294529999,-2.7755575615600003e-17,429,Very Poor,1,0,0,1,0,0,0
